"date","AU_(Other)","JP_(Other)","NZ_(Other)","AU_Affiliates","JP_Affiliates","NZ_Affiliates","AU_Direct","JP_Direct","NZ_Direct","AU_Display","JP_Display","NZ_Display","AU_Email","JP_Email","NZ_Email","JP_Organic Search","NZ_Organic Search","JP_Paid Search","NZ_Paid Search","AU_Paid Social","JP_Paid Social","AU_Referral","JP_Referral","NZ_Referral","AU_Social","JP_Social","NZ_Social","NZ_Paid Social","AU_Other Advertising","JP_Other Advertising","NZ_Other Advertising","AU_SEM"
2020-10-19,0,366.441309,0,3977.605257,0,0,5524.648717,8147.116875,429.331727,0,3112.786532,0,1679.6937,5600.022336,586.533189,18017.87463,617.907431,17584.845573,1384.42969,0,67.859502,6772.481273,6019.375084,536.994911,0,905.359646,0,0,0,0,0,23259.869575
2020-10-20,0,316.417366,0,2030.475451,0,0,4700.27921,5325.338784,317.706316,0,4014.876616,0,5135.087564,4351.152218,222.394421,18466.715738,1214.105121,17708.998249,837.591909,0,443.44443,8270.243475,5677.55741,204.882211,222.37882,594.788964,198.566448,0,0,0,0,21758.173828
2020-10-21,0,344.189943,0,2676.894295,0,0,5306.839102,6974.876468,453.878576,0,4869.472369,0,1143.144101,13147.819241,509.845562,19190.897664,624.049321,21715.506189,1009.762551,0,136.455459,12291.2423,8574.412325,1319.251519,112.782393,1460.357689,128.927827,0,0,0,0,21012.85298
2020-10-22,0,294.228337,0,3630.472051,40.652355,0,6112.464842,5371.281303,656.804636,0,2731.353844,0,2653.129643,4307.534283,502.926916,15023.946084,218.314039,17519.356608,2187.522257,113.651612,267.957948,9517.66089,5911.320234,1033.296942,119.371496,1172.038648,116.321318,0,0,0,0,20574.932139
2020-10-23,0,1516.07815,0,2140.956918,0,0,3658.205008,16941.487152,898.819693,0,4665.622172,0,3509.117015,85562.227,200.124938,38744.073503,214.083496,27906.907182,724.687097,0,559.591358,8421.228747,16280.737384,609.638114,0,8098.637604,0,0,0,0,0,20006.684525
2020-10-24,0,1317.80803,0,1966.499869,0,18.719744,3784.24701,10303.505089,71.077634,0,7595.629666,0,2151.056018,37413.841661,229.600845,35822.470104,395.404293,32056.191514,362.399198,99.789145,907.433443,6726.889462,15195.275616,608.128373,0,7961.936176,0,0,0,0,0,20711.827734
2020-10-25,0,451.478761,0,2816.892588,38.866249,0,4735.835308,7172.145044,427.941751,0,9397.601401,0,1808.242241,20895.196136,300.882619,28516.229953,795.702893,31420.58686,877.887358,0,0,7255.344268,10889.602745,683.351885,0,3900.516101,23.403064,0,0,0,0,20800.322928
2020-10-26,0,408.620842,0,2738.588771,0,0,4516.12742,7192.958682,389.828188,0,6953.792701,0,1546.199362,11293.806348,88.262986,18911.373663,1249.054987,22040.534514,841.173003,37.801263,0,6717.688981,8078.259223,347.702672,260.378583,1574.608319,0,0,0,0,0,16468.779597
2020-10-27,242.19353,863.167481,0,2128.787185,0,133.663804,3788.19192,6642.442339,120.297423,0,4191.155283,0,1549.206934,7443.142805,46.782331,16646.794903,842.149958,20750.345159,267.327608,0,191.950721,7410.314688,6816.19059,583.505058,85.480069,845.605424,18.378773,0,0,0,0,16424.587441
2020-10-28,0,421.889817,0,2347.911142,0,121.993236,5049.588546,13025.36404,123.70809,0,3283.414588,0,735.773371,8868.902741,180.978977,21586.856395,908.888166,13380.784796,1220.057278,0,231.142421,7614.928315,73008.759853,837.647857,171.118597,1424.269024,0,0,0,0,0,12101.000027
2020-10-29,0,1001.362359,0,1122.094121,0,0,3062.191729,14639.264388,291.244819,0,3087.775872,0,665.994601,7423.243021,99.869277,16104.521604,649.608836,12248.044624,713.592633,0,99.128599,7781.430879,54315.232613,641.628099,113.120072,912.716095,0,0,0,0,0,11589.646493
2020-10-30,217.975687,501.138492,0,813.058455,71.606257,0,3442.358106,9084.262324,592.610242,0,3126.221796,0,961.512628,8307.016469,0,15883.05551,1126.619264,15469.890006,909.769496,295.382026,168.48531,5087.989523,28320.407132,886.973097,0,978.803591,0,0,0,0,0,12424.313221
2020-10-31,203.905132,448.85139,0,1198.467304,172.554215,0,4014.729369,8413.212352,0,0,2787.418419,0,442.407559,9972.234588,116.009187,20072.55068,195.534788,17083.940748,1043.81452,988.765153,126.259182,5500.143067,22562.76409,185.468132,0,658.599997,0,0,0,0,0,13299.519492
2020-11-01,91.400417,401.852639,0,1834.859155,0,0,5084.562335,10963.142172,0,0,5221.089349,0,166.673912,12274.629189,0,24397.928513,1016.530709,17586.699411,1089.750659,1278.340936,0,9507.210641,19258.880245,129.792539,647.038296,1003.880308,0,0,0,0,0,14552.546795
2020-11-02,0,108.352937,0,1438.572725,0,0,4130.151416,8763.352211,137.73902,0,2898.072864,0,773.591998,6539.056715,87.411301,15885.420415,694.160813,17843.471797,765.511094,330.429274,78.89777,6507.624678,15302.552385,47.67889,0,986.164741,119.197229,0,0,0,0,13834.894843
2020-11-03,0,1895.245322,0,1643.207178,0,0,5301.940412,7831.057558,459.186421,0,4096.822829,0,229.44293,9476.340447,119.197229,20853.195319,1712.977062,20996.319767,533.136475,591.113204,383.206593,5085.85654,20775.894002,922.030213,408.481846,1018.698024,0,0,0,0,0,12442.65408
2020-11-04,206.88956,1361.473752,0,841.468619,0,200.491533,4550.41657,7156.192915,37.425086,0,2185.630888,0,742.131324,7196.248516,144.019751,12724.97216,239.37196,18841.239736,1011.725936,340.492565,134.570378,7073.942561,11406.430233,472.673126,140.855809,822.140902,0,0,0,0,0,12326.035281
2020-11-05,0,41.001912,0,1618.29133,0,0,2941.37327,9158.970285,0,0,2308.559149,0,632.438488,6265.157039,540.99939,15895.637305,1255.725546,13755.303628,939.840775,157.00484,594.6635,7135.572597,14531.880141,326.603336,121.622786,1334.329908,0,0,0,0,0,12151.090283
